Date,Open,High,Low,Close,Volume
2025-03-08,86762.3,86809.4,85230.0,86164.1,816.51310316
2025-03-09,86164.1,86435.2,80006.7,80684.0,2019.63804496
2025-03-10,80709.9,83971.5,77414.3,78558.8,3411.3441324
2025-03-11,78558.9,83607.9,76615.7,82900.0,3925.04144014
2025-03-12,82900.0,84482.0,80628.9,83673.4,2515.76502183
2025-03-13,83673.4,84282.4,79930.7,81112.3,1998.70930581
2025-03-14,81112.3,85278.7,80847.2,83997.6,2075.86273147
2025-03-15,83997.7,84659.4,83666.9,84332.9,584.76838101
2025-03-16,84333.0,85021.0,82009.8,82599.9,842.27980256
2025-03-17,82600.0,84700.0,82500.0,84015.2,1262.16112303
2025-03-18,84015.2,84015.2,81166.0,82705.4,1526.03270747
2025-03-19,82705.4,87000.0,82553.3,86879.5,2673.46536757
2025-03-20,86879.6,87433.9,83609.1,84178.6,2156.72058329
2025-03-21,84178.6,84771.3,83179.3,84034.3,1018.69958284
2025-03-22,84034.3,84450.0,83667.4,83800.0,440.24781187
2025-03-23,83800.0,86100.0,83799.9,86076.5,588.42498116
2025-03-24,86076.5,88750.0,85558.1,87505.3,2187.05354124
2025-03-25,87511.9,88500.0,86306.7,87458.1,1275.81713678
2025-03-26,87458.1,88263.0,85853.7,86899.0,1808.20481963
2025-03-27,86899.0,87755.8,85838.9,87209.9,1018.98407902
2025-03-28,87209.9,87441.7,83530.1,84373.9,2052.98377273
2025-03-29,84373.9,84559.8,81655.0,82613.8,1157.08426174
2025-03-30,82613.8,83500.0,81588.7,82325.4,916.37403895
2025-03-31,82325.4,83870.8,81270.3,82523.0,1694.68667333
2025-04-01,82523.0,85500.0,82415.9,85201.1,1757.72329983
2025-04-02,85201.2,89042.7,82141.5,82508.1,3582.61285579
2025-04-03,82508.1,83911.0,81177.7,83132.9,1942.46384857
2025-04-04,83133.0,84709.7,81657.9,83840.8,1986.99314277
2025-04-05,83840.8,84200.0,82400.0,83508.9,660.17840044
2025-04-06,83508.9,83680.0,82695.8,82789.0,201.74148155
